Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1987","1987","t","176662482","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1988","1988","t","171441919","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1989","1989","t","182485246","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1990","1990","t","191614680","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1991","1991","t","186124638","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1992","1992","t","188291880","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1993","1993","t","179746933","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1994","1994","t","177994395","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1995","1995","t","187297968","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1996","1996","t","197032897","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1997","1997","t","202771843.07","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1998","1998","t","200571557.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1999","1999","t","200403308.04","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2000","2000","t","189813760.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2001","2001","t","179304195.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2002","2002","t","176341687.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2003","2003","t","162303880.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2004","2004","t","180521211.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2005","2005","t","182055538.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2006","2006","t","183276448","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2007","2007","t","187744460.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2008","2008","t","194069375.04","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2009","2009","t","197774869.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2010","2010","t","198676711.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2011","2011","t","204548773.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2012","2012","t","208232529.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2013","2013","t","207875104.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2014","2014","t","211341310.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2015","2015","t","213723732.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2016","2016","t","212681776.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2017","2017","t","214429949.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2018","2018","t","214078796.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2019","2019","t","211405211.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2020","2020","t","213610729.06","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2021","2021","t","214403870.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2022","2022","t","210070800.06","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2023","2023","t","208064200.06","E","Estimated value",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1961","1961","t","133690","A","Official figure",""
